"ons_code","year","region","class","adults_65_pc","adults_us6_learning_pc","adults_u65_mental_pc","adults_u65_other_pc","adults_u65_physical_pc","adults_u65_social_care_pc"
"E06000013",2010,"YH","UA",964.49,129.003,74.8635,14.8118,46.9424,0
"E06000013",2011,"YH","UA",1210.15,99.9067,60.5275,10.8812,42.9414,2.36459
"E06000013",2012,"YH","UA",1312.73,110.154,68.8842,12.6144,44.4639,2.49661
"E06000013",2013,"YH","UA",1014.62,99.8179,59.9228,19.8673,40.0856,0
"E06000014",2009,"YH","UA",1264.41,162.357,35.5864,14.0731,50.5624,3.16015
"E06000014",2010,"YH","UA",1210.26,183.433,30.5024,6.44713,44.728,1.44851
"E06000014",2011,"YH","UA",998.826,222.152,28.5297,0.690694,47.2678,10.401
"E06000014",2012,"YH","UA",946.115,230.611,26.9781,20.7194,44.7864,0.0713916
"E06000014",2013,"YH","UA",882.41,226.741,24.0296,0.713828,66.2308,1.20264
"E06000015",2009,"EM","UA",1188.81,153.324,52.4598,3.39539,71.1668,0.366099
"E06000015",2010,"EM","UA",1231.28,190.425,57.5311,3.51779,77.9384,3.38622
"E06000015",2011,"EM","UA",1212.56,189.903,50.6899,1.98731,80.6753,0.15547
"E06000015",2012,"EM","UA",1220.82,144.8,43.9945,42.0289,37.8054,1.16212
"E06000015",2013,"EM","UA",1086.03,150.428,41.9112,34.2886,55.7107,1.51138
"E06000016",2009,"EM","UA",1457.5,171.04,57.3707,51.3878,55.922,1.49049
"E06000016",2010,"EM","UA",1403.34,178.412,53.5164,63.727,59.3116,1.57047
"E06000016",2011,"EM","UA",1456.11,171.859,55.4586,75.8925,66.0082,3.48255
"E06000016",2012,"EM","UA",1394.74,151.129,63.0311,68.5226,99.6,1.38122
"E06000016",2013,"EM","UA",1437.86,159.361,53.7649,46.4617,101.489,1.45501
"E06000017",2009,"EM","UA",846.358,143.689,14.295,23.4635,49.1452,23.3649
"E06000017",2010,"EM","UA",823.405,136.871,29.3123,2.47095,43.5566,13.566
"E06000017",2011,"EM","UA",755.815,155.32,17.4133,16.0626,57.2563,11.9626
"E06000017",2012,"EM","UA",745.464,161.216,18.1191,17.2889,67.6903,15.1888
"E06000017",2013,"EM","UA",752.21,161.932,18.0083,17.0104,68.8495,14.6347
"E06000018",2009,"EM","UA",1663.99,159.218,37.4473,33.1686,86.8817,1.79098
"E06000018",2010,"EM","UA",1743.41,169.522,36.3966,45.9832,69.0611,0.987931
"E06000018",2011,"EM","UA",1678.72,161.945,33.2593,43.9797,57.0224,0.455329
"E06000018",2012,"EM","UA",1630.33,155.327,36.3004,46.4743,59.2393,0.870231
"E06000018",2013,"EM","UA",1559.1,157.215,45.4395,39.2471,55.4666,0
"E06000019",2009,"WM","UA",938.31,181.056,35.5522,1.54749,57.1072,3.075
"E06000019",2010,"WM","UA",978.452,195.895,42.923,1.66179,64.663,2.95211
"E06000019",2011,"WM","UA",937.18,201.829,42.2759,1.51809,70.4758,4.60231
"E06000019",2012,"WM","UA",989.303,197.215,41.8705,3.08888,68.9124,2.00872
"E06000019",2013,"WM","UA",563.605,200.541,103.88,74.9653,97.8594,20.3097
"E06000020",2009,"WM","UA",1389.98,213.782,57.0442,30.5237,65.9229,3.89821
"E06000020",2010,"WM","UA",1309.72,221.33,54.5375,18.8425,67.2051,0
"E06000020",2011,"WM","UA",1254.78,239.223,51.5544,26.2598,65.8002,0
"E06000020",2012,"WM","UA",1137.22,201.304,35.2936,13.3653,72.1947,0
"E06000020",2013,"WM","UA",1115.23,194.276,36.3862,3.53264,60.7419,0
"E06000021",2009,"WM","UA",1562.54,190.958,49.6836,17.5561,57.0221,3.57755
"E06000021",2010,"WM","UA",1728.04,214.93,45.786,13.554,26.525,2.9015
"E06000021",2011,"WM","UA",1535.3,203.628,42.9802,8.09276,25.2781,9.68984
"E06000021",2012,"WM","UA",1552.58,199.383,38.3744,7.88777,26.0039,8.78035
"E06000021",2013,"WM","UA",1461.02,211.133,37.4593,2.59087,32.9729,2.51216
"E06000022",2009,"SW","UA",1185.83,200.386,57.5665,40.464,47.0419,4.44506
"E06000022",2010,"SW","UA",1338.83,235.931,63.3825,40.8208,61.712,1.59282
"E06000022",2011,"SW","UA",1272.4,223.577,53.486,31.4412,55.7806,5.82173
"E06000022",2012,"SW","UA",1231.38,205.96,49.3393,28.1423,48.7374,3.94492
"E06000022",2013,"SW","UA",1086.72,209.787,38.429,30.7107,39.1249,6.74224
"E06000023",2009,"SW","UA",1781.44,187.05,40.1238,20.2557,62.0152,6.88756
"E06000023",2010,"SW","UA",1818.54,179.724,37.6708,22.7063,58.6616,8.60702
"E06000023",2011,"SW","UA",1714.09,165.332,38.8438,50.5991,58.0478,5.65793
"E06000023",2012,"SW","UA",1655.55,164.315,35.1432,64.6574,52.9943,3.11015
"E06000023",2013,"SW","UA",1620.23,151.57,38.4054,25.9631,51.499,5.7011
"E06000024",2009,"SW","UA",1069.91,173.403,43.9514,4.73239,73.8235,1.84944
"E06000024",2010,"SW","UA",1029.37,183.923,44.5087,5.63907,60.307,4.31589
"E06000024",2011,"SW","UA",987.33,182.283,43.906,4.81402,61.9498,1.95899
"E06000024",2012,"SW","UA",946.749,185.276,48.8677,3.14883,62.2459,1.89625
"E06000024",2013,"SW","UA",997.958,188.043,44.814,2.54508,67.049,1.12637
"E06000025",2009,"SW","UA",1251.6,235.219,16.7663,18.3884,54.7209,0.91538
"E06000025",2010,"SW","UA",1264.06,239.508,16.8539,15.7351,63.9277,0.888433
"E06000025",2011,"SW","UA",1174.66,221.083,15.4452,15.1296,59.5524,5.20423
"E06000025",2012,"SW","UA",1107.45,197.343,18.44,24.4669,61.8954,1.9228
"E06000025",2013,"SW","UA",1063.88,204.699,18.866,0.450512,64.9293,2.28342
"E06000026",2009,"SW","UA",1195.6,164.261,32.6629,33.6158,70.9762,1.95231
"E06000026",2010,"SW","UA",1185.56,177.519,37.5422,7.30095,65.9043,1.25271
"E06000026",2011,"SW","UA",1140.31,165.685,29.7504,27.0152,61.7527,4.6817
"E06000026",2012,"SW","UA",1076.66,200.638,26.6253,15.7698,52.0361,0.513349
"E06000026",2013,"SW","UA",1043.54,200.033,26.6707,3.06524,49.2358,5.06538
"E06000027",2009,"SW","UA",844.899,183.557,46.6443,17.7374,61.8457,3.6472
"E06000027",2010,"SW","UA",818.198,180.608,45.8944,20.1952,69.3527,0.81229
"E06000027",2011,"SW","UA",792.467,189.438,50.4366,13.651,56.9021,1.48139
"E06000027",2012,"SW","UA",702.797,189.646,41.1071,8.32339,80.8499,1.72256
"E06000027",2013,"SW","UA",648.262,179.32,45.1407,7.52345,76.5863,1.61119
"E06000028",2009,"SW","UA",1241.15,132.944,38.6199,43.8752,67.4369,0.242404
"E06000028",2010,"SW","UA",1179.12,131.079,35.2525,45.458,67.3045,21.5447
"E06000028",2011,"SW","UA",1231.76,155.826,35.3093,32.7378,63.9276,22.0672
"E06000028",2012,"SW","UA",1518.32,163.347,37.1117,34.2504,72.1007,0.322636
"E06000028",2013,"SW","UA",1255.06,149.281,38.9419,2.95962,66.6872,0.225098
"E06000029",2009,"SW","UA",1008.54,136.214,40.0847,18.156,46.1905,1.06727
"E06000029",2010,"SW","UA",1024.54,174.35,39.1413,7.20325,45.9826,1.11005
"E06000029",2011,"SW","UA",974.644,155.372,37.098,7.62675,48.8795,0.988653
"E06000029",2012,"SW","UA",932.958,189.482,36.0835,4.08846,42.1228,4.19359
"E06000029",2013,"SW","UA",982.722,176.134,28.35,0.0810663,43.8221,2.5478
"E06000030",2009,"SW","UA",1290.03,187.823,23.8174,7.21539,45.0508,6.18344
"E06000030",2010,"SW","UA",1173.82,169.621,25.3344,27.0287,34.3493,5.12283
"E06000030",2011,"SW","UA",1114.97,182.474,23.7676,9.75558,39.2087,1.32042
"E06000030",2012,"SW","UA",1023.39,201.508,24.3965,8.28228,38.1977,3.51902
"E06000030",2013,"SW","UA",949.522,190.433,22.8718,0.743614,44.2338,2.65898
"E06000031",2009,"EE","UA",6.6012,0,4.34759,485.012,0,1.35923
"E06000031",2010,"EE","UA",877.038,164.774,11.5788,82.7642,49.7032,1.41477
"E06000031",2011,"EE","UA",1126.29,155.566,27.0849,29.8204,63.3695,13.9668
"E06000031",2012,"EE","UA",1265.9,219.011,30.1828,28.0433,76.46,9.7295
"E06000031",2013,"EE","UA",980.194,224.63,31.2409,2.29571,86.9751,4.51286
"E06000032",2009,"EE","UA",1720.5,135.054,35.5523,15.5753,61.8378,3.5285
"E06000032",2010,"EE","UA",1479.27,130.586,29.974,5.54506,53.6363,2.50422
"E06000032",2011,"EE","UA",1366.6,148.117,28.6915,5.64839,52.2169,3.41683
"E06000032",2012,"EE","UA",1292.9,139.82,31.53,3.87546,52.3826,3.68408
"E06000032",2013,"EE","UA",1231.31,129.899,31.7707,2.62083,49.5923,2.48783
"E06000033",2009,"EE","UA",1254.18,204.741,42.6333,31.9933,56.4631,1.53199
"E06000033",2010,"EE","UA",1197.21,191.987,37.4552,36.8676,50.5347,2.69491
"E06000033",2011,"EE","UA",1120.11,172.899,37.5552,41.8843,39.0605,1.05277
"E06000033",2012,"EE","UA",1059.74,161.285,40.134,47.7832,48.1141,0
"E06000033",2013,"EE","UA",1013.08,154.599,41.5157,23.6311,43.8452,-0.00962572
"E06000034",2009,"EE","UA",1595.81,184.641,31.8038,5.92726,44.5098,32.8211
"E06000034",2010,"EE","UA",1387.64,146.1,31.6488,13.4212,42.6776,2.48899
"E06000034",2011,"EE","UA",1260.71,142.403,34.5754,21.2265,48.5207,-0.80554
"E06000034",2012,"EE","UA",1181.58,108.923,38.0452,79.4179,34.6764,0
"E06000034",2013,"EE","UA",1034.19,106.715,39.9255,92.9937,35.1316,14.3106
"E06000035",2009,"SE","UA",1260,173.764,33.9076,24.4238,73.893,0.958962
"E06000035",2010,"SE","UA",1222.74,171.494,36.8535,22.5244,75.2436,0.92838
"E06000035",2011,"SE","UA",1199.73,158.327,33.2406,20.8957,71.0692,0.74382
"E06000035",2012,"SE","UA",1080.55,158.64,28.4222,17.3783,72.1947,0.128275
"E06000035",2013,"SE","UA",995.403,166.825,29.2326,2.28511,70.7485,0.929638
"E06000036",2009,"SE","UA",1314.77,224.423,28.7265,23.2327,36.361,0.808354
"E06000036",2010,"SE","UA",1288.41,220.143,29.6422,29.4672,31.6699,0.787737
"E06000036",2011,"SE","UA",1173.8,201.845,28.6062,27.748,35.2857,0.772367
"E06000036",2012,"SE","UA",1079.71,198.404,30.8781,14.3818,36.3395,2.75872
"E06000036",2013,"SE","UA",1121.38,186.317,31.8155,18.196,38.5359,0.948281
"E06000037",2009,"SE","UA",1322.23,132.647,24.6348,69.4511,56.6578,9.66581
"E06000037",2010,"SE","UA",1210.63,146.355,24.7178,65.2377,53.2059,10.3684
"E06000037",2011,"SE","UA",1178.36,152.463,21.3803,55.8063,54.0054,8.4006
"E06000037",2012,"SE","UA",1061.81,157.773,23.3293,31.0112,55.1043,-1.46217
"E06000037",2013,"SE","UA",931.395,155.927,25.0448,20.3063,48.2721,0
"E06000038",2009,"SE","UA",1625.7,182.26,59.9945,35.6089,68.1828,1.83366
"E06000038",2010,"SE","UA",1584.4,184.335,57.5365,38.6162,64.1698,1.64302
"E06000038",2011,"SE","UA",1572.74,178.662,54.4456,37.3181,68.2496,1.84188
"E06000038",2012,"SE","UA",1458.48,170.885,48.3549,32.0011,68.515,2.27598
"E06000038",2013,"SE","UA",1377.03,163.577,47.4719,16.7909,64.9064,3.72705
"E06000039",2009,"SE","UA",1596.72,151.534,58.3063,36.3498,89.5769,0.0869316
"E06000039",2010,"SE","UA",1520.85,138.869,54.4992,34.2795,86.8008,4.36089
"E06000039",2011,"SE","UA",1474.11,155.7,54.1033,34.1111,86.9247,5.44719
"E06000039",2012,"SE","UA",1667.55,157.02,61.4237,0.113265,66.8265,3.38663
"E06000039",2013,"SE","UA",2166.38,137.772,36.0803,34.0164,5.84604,2.85608
"E06000040",2009,"SE","UA",1062.34,198.906,36.8093,22.0979,35.6521,2.46216
"E06000040",2010,"SE","UA",1028.8,187.292,36.4854,11.2448,34.9476,2.35467
"E06000040",2011,"SE","UA",946.731,190.396,38.8297,12.7073,37.1897,2.45414
"E06000040",2012,"SE","UA",857.886,192.345,36.3618,12.4632,36.3385,1.98571
"E06000040",2013,"SE","UA",839.809,200.222,35.4069,6.11542,34.0054,1.9574
"E06000041",2009,"SE","UA",1045.23,242.456,40.9931,14.5932,49.0507,6.49086
"E06000041",2010,"SE","UA",993.409,242.352,40.6455,14.4525,80.2437,0
"E06000041",2011,"SE","UA",1006,230.972,45.5366,12.3893,53.4247,0
"E06000041",2012,"SE","UA",838.612,239.841,43.1252,50.0944,51.4152,1.82552
"E06000041",2013,"SE","UA",782.51,239.101,40.4426,49.6699,50.3617,1.33035
"E06000042",2009,"SE","UA",1394.35,129.896,23.5686,10.4162,42.0267,1.50394
"E06000042",2010,"SE","UA",1322.5,109.721,27.3768,7.63925,42.6285,4.09748
"E06000042",2011,"SE","UA",1359.18,151.981,32.5423,7.07329,43.0644,2.49225
"E06000042",2012,"SE","UA",1166.59,154.045,23.9899,5.85338,39.6288,1.35127
"E06000042",2013,"SE","UA",1202.99,160.731,24.0296,6.43729,49.3064,0.447209
"E06000043",2009,"SE","UA",1731.47,214.613,56.9078,25.5623,60.8493,106.953
"E06000043",2010,"SE","UA",1702.49,212.113,49.4326,22.3585,51.6869,26.3667
"E06000043",2011,"SE","UA",1561.65,200.362,44.2362,16.4641,53.5251,22.0263
"E06000043",2012,"SE","UA",1506.89,197.4,44.672,15.1308,55.8915,19.1885
"E06000043",2013,"SE","UA",1503.31,194.053,44.3041,13.6194,58.9764,15.7359
"E06000044",2009,"SE","UA",1214.47,158.417,56.5213,17.5679,52.6788,0.793281
"E06000044",2010,"SE","UA",1274.78,173.317,55.4709,29.2081,46.1677,0.688834
"E06000044",2011,"SE","UA",1159.14,166.594,52.7398,47.272,38.6589,0.338371
"E06000044",2012,"SE","UA",1103.07,162.234,50.2105,53.0528,34.8307,0.648364
"E06000044",2013,"SE","UA",1142.01,163.932,45.9887,42.1557,41.6635,1.03655
"E06000045",2009,"SE","UA",1659.42,159.109,45.6174,32.977,52.7897,6.18056
"E06000045",2010,"SE","UA",1613.46,157.065,43.4028,27.4839,52.2046,7.95268
"E06000045",2011,"SE","UA",1490.31,157.313,39.1413,21.8837,53.7873,1.9948
"E06000045",2012,"SE","UA",1478.64,155.948,38.1261,19.9016,53.2963,1.86837
"E06000045",2013,"SE","UA",858.263,140.674,28.5693,148.016,78.5469,0
"E06000046",2009,"SE","UA",1118.12,189.71,43.0518,18.0592,63.0241,2.46941
"E06000046",2010,"SE","UA",1165.9,197.42,45.2359,9.62665,57.9602,6.60914
"E06000046",2011,"SE","UA",1023.28,206.456,36.2086,5.50971,61.5032,3.03166
"E06000046",2012,"SE","UA",982.622,206.055,41.6196,13.7204,66.861,6.25799
"E06000046",2013,"SE","UA",994.278,231.087,47.9991,2.62955,71.5866,6.27953
