"ecode","ons_code","ons_region_name","start_year","children","adult","older"
"E0536","E07000012","East of England",2010,0,0,-60
"E0536","E07000012","East of England",2011,0,0,16
"E0536","E07000012","East of England",2012,0,0,19
"E0536","E07000012","East of England",2013,0,0,18
"E0551","E07000011","East of England",2008,0,0,0
"E0551","E07000011","East of England",2009,0,0,0
"E0551","E07000011","East of England",2010,0,0,0
"E0551","E07000011","East of England",2011,0,0,0
"E0551","E07000011","East of England",2012,0,0,0
"E0551","E07000011","East of England",2013,0,0,0
"E0601","E06000006","North West",2008,136,41383,20219
"E0601","E06000006","North West",2009,162,230,21447
"E0601","E06000006","North West",2010,170,275,24716
"E0601","E06000006","North West",2011,7224,346,25634
"E0601","E06000006","North West",2012,6591,281,20835
"E0601","E06000006","North West",2013,198,327,28989
"E0602","E06000007","North West",2008,841,46101,39540
"E0602","E06000007","North West",2009,846,408,40269
"E0602","E06000007","North West",2010,710,377,42616
"E0602","E06000007","North West",2011,12315,491,42943
"E0602","E06000007","North West",2012,198,517,42271
"E0602","E06000007","North West",2013,773,552,41279
"E0603","E06000049","North West",2009,0,285,75664
"E0603","E06000049","North West",2010,1151,354,87932
"E0603","E06000049","North West",2011,1268,269,88261
"E0603","E06000049","North West",2012,2402,142,77256
"E0603","E06000049","North West",2013,3253,542,64404
"E0604","E06000050","North West",2009,86,0,73864
"E0604","E06000050","North West",2010,321,0,67593
"E0604","E06000050","North West",2011,8081,0,58639
"E0604","E06000050","North West",2012,904,215,54389
"E0604","E06000050","North West",2013,734,701,53439
"E0701","E06000001","North East",2008,34,32138,22494
"E0701","E06000001","North East",2009,0,388,22051
"E0701","E06000001","North East",2010,70,413,22439
"E0701","E06000001","North East",2011,3388,161,23228
"E0701","E06000001","North East",2012,413,685,26060
"E0701","E06000001","North East",2013,42,5,26597
"E0702","E06000002","North East",2008,59,60830,26891
"E0702","E06000002","North East",2009,92,215,30171
"E0702","E06000002","North East",2010,63,304,29572
"E0702","E06000002","North East",2011,485,113,29823
"E0702","E06000002","North East",2012,425,224,29744
"E0702","E06000002","North East",2013,266,142,29564
"E0703","E06000003","North East",2008,0,41029,33188
"E0703","E06000003","North East",2009,247,283,33670
"E0703","E06000003","North East",2010,326,541,31720
"E0703","E06000003","North East",2011,2818,507,23317
"E0703","E06000003","North East",2012,38,276,24488
"E0703","E06000003","North East",2013,31,311,21957
"E0704","E06000004","North East",2008,97,53785,32357
"E0704","E06000004","North East",2009,75,305,33775
"E0704","E06000004","North East",2010,171,247,35469
"E0704","E06000004","North East",2011,4935,219,35288
"E0704","E06000004","North East",2012,971,240,33695
"E0704","E06000004","North East",2013,972,277,33793
"E0801","E06000052","South West",2009,0,269,80649
"E0801","E06000052","South West",2010,645,258,77447
"E0801","E06000052","South West",2011,11200,236,78124
"E0801","E06000052","South West",2012,69,240,89620
"E0801","E06000052","South West",2013,0,268,86133
"E0920","E10000006","North West",2008,135,92149,124090
"E0920","E10000006","North West",2009,233,429,124895
"E0920","E10000006","North West",2010,126,352,124984
"E0920","E10000006","North West",2011,18717,481,121389
"E0920","E10000006","North West",2012,2458,281,120603
"E0920","E10000006","North West",2013,2401,255,120134
"E0931","E07000026","North West",2008,0,0,0
"E0931","E07000026","North West",2009,0,0,0
"E0931","E07000026","North West",2010,0,0,0
"E0931","E07000026","North West",2011,0,0,0
"E0931","E07000026","North West",2012,0,0,0
"E0931","E07000026","North West",2013,0,0,0
"E0932","E07000027","North West",2008,0,0,0
"E0932","E07000027","North West",2009,0,0,0
"E0932","E07000027","North West",2010,0,0,0
"E0932","E07000027","North West",2011,0,0,0
"E0932","E07000027","North West",2012,0,0,0
"E0932","E07000027","North West",2013,0,0,0
"E0933","E07000028","North West",2008,0,0,0
"E0933","E07000028","North West",2009,0,0,0
"E0933","E07000028","North West",2010,0,0,0
"E0933","E07000028","North West",2011,0,0,0
"E0933","E07000028","North West",2012,0,0,0
"E0933","E07000028","North West",2013,0,0,0
"E0934","E07000029","North West",2008,0,0,0
"E0934","E07000029","North West",2009,0,0,0
"E0934","E07000029","North West",2010,0,0,0
"E0934","E07000029","North West",2011,0,0,0
"E0934","E07000029","North West",2012,0,0,0
"E0934","E07000029","North West",2013,0,0,0
"E0935","E07000030","North West",2008,0,0,0
"E0935","E07000030","North West",2009,0,0,0
"E0935","E07000030","North West",2010,0,0,0
"E0935","E07000030","North West",2011,0,0,0
"E0935","E07000030","North West",2012,0,0,0
"E0935","E07000030","North West",2013,0,0,0
"E0936","E07000031","North West",2008,0,0,0
"E0936","E07000031","North West",2009,0,0,0
"E0936","E07000031","North West",2010,0,0,0
"E0936","E07000031","North West",2011,0,0,0
"E0936","E07000031","North West",2012,0,0,0
"E0936","E07000031","North West",2013,0,0,0
"E1001","E06000015","East Midlands",2008,83,75756,40079
