"la","year","sex","s_35","s_50","s_65","s_80","s_85"
"E07000004",2005,"female",0.00507985,0.00637001,0.0093732,0.0300092,0.0790549
"E07000004",2005,"male",0.00421928,0.00418416,0.00771664,0.027022,0.040716
"E07000004",2006,"female",0.00448497,0.00559562,0.00560831,0.015867,0.036802
"E07000004",2006,"male",0.00376874,0.00469765,0.00662815,0.026321,0.0713913
"E07000004",2007,"female",0.0052027,0.00656644,0.00870441,0.0249985,0.0342269
"E07000004",2007,"male",0.00353564,0.0052527,0.00695688,0.016438,0.044938
"E07000004",2008,"female",0.00471582,0.00572212,0.0109694,0.0225731,0.0688327
"E07000004",2008,"male",0.00390445,0.00525254,0.00954129,0.0173274,0.0460684
"E07000004",2009,"female",0.00462371,0.00607417,0.0078384,0.0163538,0.0315785
"E07000004",2009,"male",0.00388233,0.00448585,0.00797739,0.0203369,0.0340517
"E07000004",2010,"female",0.00448489,0.00538154,0.00668718,0.0277542,0.0706377
"E07000004",2010,"male",0.00446372,0.00524685,0.00618229,0.0202496,0.0561602
"E07000004",2011,"female",0.00500178,0.00517049,0.00784201,0.02057,0.0469903
"E07000004",2011,"male",0.00413517,0.00364876,0.00675431,0.0161575,0.0405865
"E07000004",2012,"female",0.00397964,0.00444827,0.00766444,0.0233229,0.0619271
"E07000004",2012,"male",0.00446396,0.00431473,0.00808894,0.0129155,0.0159758
"E07000004",2013,"female",0.00492152,0.00671229,0.00996685,0.0312929,0.0949407
"E07000004",2013,"male",0.00450771,0.00394349,0.00621376,0.0177577,0.0581991
"E07000005",2002,"female",0.00574053,0.0079809,0.0107862,0.0295278,0.0307238
"E07000005",2002,"male",0.00465206,0.00468402,0.00943335,0.0288843,0.0778568
"E07000005",2003,"female",0.00547287,0.00693846,0.00692805,0.0149321,0.0417987
"E07000005",2003,"male",0.00437628,0.00570255,0.00778875,0.02335,0.0523766
"E07000005",2004,"female",0.00409701,0.00467122,0.00695301,0.0248026,0.0573206
"E07000005",2004,"male",0.00587103,0.00716131,0.0100221,0.0306026,0.0800802
"E07000005",2005,"female",0.00486827,0.00743473,0.00897976,0.0342885,0.100117
"E07000005",2005,"male",0.00451363,0.00599174,0.00987116,0.0160035,0.0429574
"E07000005",2006,"female",0.00514317,0.00749774,0.0106953,0.0379293,0.0728433
"E07000005",2006,"male",0.00370705,0.00474682,0.00798461,0.0269485,0.0508033
"E07000005",2007,"female",0.00492196,0.00723787,0.0107452,0.0197784,0.052475
"E07000005",2007,"male",0.00510518,0.00626434,0.0110286,0.0552663,0.188894
"E07000005",2008,"female",0.00524602,0.00833937,0.0123007,0.0365139,0.131382
"E07000005",2008,"male",0.00466879,0.00537033,0.00672713,0.0213908,0.058369
"E07000005",2009,"female",0.00484734,0.0074061,0.0127465,0.0293036,0.0524658
"E07000005",2009,"male",0.00446874,0.00630418,0.00754373,0.0266146,0.0464609
"E07000005",2010,"female",0.00434208,0.00606224,0.00954002,0.0241311,0.0469389
"E07000005",2010,"male",0.00532757,0.00689114,0.00929667,0.0346445,0.0835733
"E07000005",2011,"female",0.00465978,0.00767689,0.00929743,0.0264454,0.0217701
"E07000005",2011,"male",0.00488809,0.00627496,0.0105056,0.0462644,0.0884834
"E07000005",2012,"female",0.00567719,0.0070962,0.00965124,0.0241162,0.0495156
"E07000005",2012,"male",0.00536433,0.00712731,0.00799058,0.0143722,0.0393101
"E07000005",2013,"female",0.00580371,0.00826994,0.0128985,0.0280777,0.0845987
"E07000005",2013,"male",0.0057696,0.00682853,0.00891495,0.0301779,0.0409491
"E07000006",2002,"female",0.00590518,0.0079178,0.0135829,0.0452629,0.10408
"E07000006",2002,"male",0.00461231,0.00709856,0.00950879,0.046424,0.13147
"E07000006",2003,"female",0.0059653,0.00869192,0.0157686,0.0281626,0.0870111
"E07000006",2003,"male",0.00517898,0.00778013,0.0117666,0.0499283,0.110315
"E07000006",2004,"female",0.00699213,0.00902778,0.016107,0.0295314,0.0946659
"E07000006",2004,"male",0.00410561,0.00654256,0.0109923,0.0357394,0.080465
"E07000006",2005,"female",0.00529175,0.00728478,0.00885539,0.0214385,0.0648157
"E07000006",2005,"male",0.00521655,0.00702071,0.0109145,0.0434439,0.109839
"E07000006",2006,"female",0.00535519,0.0072082,0.011222,0.0247257,0.0662677
"E07000006",2006,"male",0.00592039,0.008614,0.0146719,0.0399151,0.0575898
"E07000006",2007,"female",0.0043542,0.00678946,0.0119405,0.0343463,0.0977074
"E07000006",2007,"male",0.00402444,0.00534171,0.0102407,0.0484957,0.164943
"E07000006",2008,"female",0.00668217,0.00910612,0.0169428,0.0319406,0.0883352
"E07000006",2008,"male",0.00583892,0.00909108,0.0112818,0.0417758,0.104116
"E07000006",2009,"female",0.0053927,0.00764035,0.0129332,0.0246927,0.0832667
"E07000006",2009,"male",0.00594456,0.00806178,0.00977956,0.0292655,0.0441416
"E07000006",2010,"female",0.00459024,0.00719569,0.0103986,0.0230713,0.0404948
"E07000006",2010,"male",0.00566282,0.00833552,0.0150879,0.0471597,0.125066
"E07000006",2011,"female",0.00510105,0.00691403,0.0118361,0.0177344,0.0441271
"E07000006",2011,"male",0.0051071,0.0066539,0.0117664,0.0401143,0.070963
"E07000006",2012,"female",0.00552438,0.00720546,0.0119822,0.0294685,0.0999818
"E07000006",2012,"male",0.00448302,0.00593634,0.00948437,0.0277912,0.0764703
"E07000006",2013,"female",0.00536555,0.00761959,0.0126924,0.0251503,0.0367542
"E07000006",2013,"male",0.00584619,0.00737947,0.0111061,0.036414,0.088699
"E07000007",2002,"female",0.00376075,0.00496759,0.00817201,0.024851,0.066622
"E07000007",2002,"male",0.00406514,0.00531723,0.00903286,0.0395564,0.106444
"E07000007",2003,"female",0.00458,0.0059417,0.00865157,0.0231115,0.050171
"E07000007",2003,"male",0.00386486,0.00443751,0.00691223,0.0268769,0.0791802
"E07000007",2004,"female",0.00425528,0.0050647,0.00860748,0.0235804,0.07954
"E07000007",2004,"male",0.00470317,0.00501086,0.00643846,0.0291632,0.0952158
"E07000007",2005,"female",0.00439006,0.00481908,0.00772281,0.0244465,0.0817065
"E07000007",2005,"male",0.00376528,0.00475227,0.00760146,0.0291213,0.103279
"E07000007",2006,"female",0.00456182,0.0048719,0.00651571,0.0110055,0.0289049
"E07000007",2006,"male",0.00437144,0.00465704,0.00607016,0.0158425,0.0205412
"E07000007",2007,"female",0.00398732,0.00633995,0.00806927,0.0187596,0.0191631
"E07000007",2007,"male",0.00418304,0.00557855,0.00904002,0.0318624,0.102253
"E07000007",2008,"female",0.00380626,0.00533838,0.00681613,0.019317,0.0294951
"E07000007",2008,"male",0.00417682,0.00495228,0.0093231,0.0360058,0.121062
"E07000007",2009,"female",0.00454946,0.00628531,0.00765434,0.0212962,0.0349393
"E07000007",2009,"male",0.00373996,0.00479177,0.00772819,0.0208965,0.0600744
"E07000007",2010,"female",0.00463522,0.00654731,0.0111983,0.0226915,0.0278048
"E07000007",2010,"male",0.00441552,0.00482147,0.00894754,0.0301914,0.087651
"E07000007",2011,"female",0.00488685,0.00667049,0.00788513,0.0223679,0.0533283
"E07000007",2011,"male",0.00355971,0.00469589,0.00791776,0.0240432,0.045465
"E07000007",2012,"female",0.00503165,0.00664313,0.0104932,0.0355002,0.0741418
"E07000007",2012,"male",0.00453125,0.00488936,0.00815385,0.0396944,0.139769
"E07000007",2013,"female",0.00424349,0.00480559,0.00751987,0.0261041,0.0450977
"E07000007",2013,"male",0.00393803,0.00398563,0.00550729,0.0138553,0.0365571
"E07000008",2002,"female",0.00557992,0.0084371,0.0138232,0.019413,0.0403827
"E07000008",2002,"male",0.00514224,0.00721177,0.00798155,0.0184941,0.0383577
"E07000008",2003,"female",0.00543352,0.00754238,0.010402,0.0225878,0.0537682
"E07000008",2003,"male",0.00449921,0.00567775,0.00927023,0.0306756,0.0687433
"E07000008",2004,"female",0.00502216,0.00683837,0.00935343,0.0243567,0.0742989
"E07000008",2004,"male",0.00475834,0.00650769,0.00756277,0.0219954,0.0684799
"E07000008",2005,"female",0.00546749,0.00756148,0.00975381,0.0261356,0.0867177
"E07000008",2005,"male",0.00446056,0.00547779,0.0100711,0.0252681,0.0813202
"E07000008",2006,"female",0.00579729,0.00803174,0.00945663,0.0173802,0.0424667
"E07000008",2006,"male",0.00493094,0.00704707,0.00687138,0.0287008,0.0703242
"E07000008",2007,"female",0.00452007,0.00519966,0.010042,0.0248098,0.0765167
"E07000008",2007,"male",0.00392192,0.0050698,0.0099469,0.0261599,0.0789541
"E07000008",2008,"female",0.00578522,0.00885629,0.0155296,0.0310277,0.0641362
"E07000008",2008,"male",0.00365882,0.00577165,0.00960013,0.0198094,0.0572859
"E07000008",2009,"female",0.00534098,0.00714478,0.00968807,0.0247073,0.064851
"E07000008",2009,"male",0.00515619,0.00621756,0.00944154,0.0314206,0.0936749
"E07000008",2010,"female",0.00473913,0.00736517,0.00910961,0.0228281,0.0705035
"E07000008",2010,"male",0.00500606,0.00686802,0.00986396,0.02274,0.0630061
"E07000008",2011,"female",0.00465492,0.00626715,0.0100536,0.0321633,0.0935432
"E07000008",2011,"male",0.00550553,0.00710117,0.00805063,0.0242374,0.0706399
"E07000008",2012,"female",0.00438033,0.00636349,0.00657338,0.0249833,0.0705632
"E07000008",2012,"male",0.00492951,0.00651618,0.00998862,0.0175675,0.0313182
"E07000008",2013,"female",0.00437079,0.00647343,0.00940791,0.022875,0.0561202
"E07000008",2013,"male",0.00389051,0.0050996,0.00930069,0.0290049,0.094659
"E07000009",2002,"female",0.00629426,0.00924503,0.0149713,0.0174377,0.0261954
"E07000009",2002,"male",0.00458574,0.00624587,0.0102646,0.0319766,0.0877917
"E07000009",2003,"female",0.00587245,0.00854214,0.012716,0.0291077,0.0479117
"E07000009",2003,"male",0.00502785,0.00698437,0.0149445,0.0229179,0.0643795
"E07000009",2004,"female",0.00501765,0.00730177,0.012214,0.0275767,0.0822285
"E07000009",2004,"male",0.00614705,0.00802389,0.00986359,0.0277957,0.0904728
"E07000009",2005,"female",0.00505077,0.00775346,0.0134035,0.0275811,0.0959596
"E07000009",2005,"male",0.00686526,0.00916772,0.0167934,0.0395393,0.130138
"E07000009",2006,"female",0.00430773,0.00645995,0.0097445,0.0362022,0.119338
"E07000009",2006,"male",0.00523777,0.00837109,0.00901258,0.0393549,0.12229
"E07000009",2007,"female",0.00527975,0.00790394,0.0103808,0.0335941,0.0719816
"E07000009",2007,"male",0.0045691,0.00586869,0.00995812,0.046975,0.141715
"E07000009",2008,"female",0.0056747,0.00915906,0.0122266,0.0204753,0.0546971
"E07000009",2008,"male",0.00474357,0.00667874,0.00680834,0.0222292,0.0597896
"E07000009",2009,"female",0.00496186,0.00620048,0.00872053,0.0278417,0.080623
"E07000009",2009,"male",0.00502621,0.00603978,0.00593254,0.0188904,0.0557441
"E07000009",2010,"female",0.00523565,0.00815947,0.0131053,0.0237761,0.0103606
"E07000009",2010,"male",0.00603639,0.00863992,0.015355,0.0369305,0.0579888
"E07000009",2011,"female",0.00541883,0.00711104,0.0113912,0.039465,0.123429
"E07000009",2011,"male",0.00507622,0.00726521,0.0109095,0.0289272,0.036898
"E07000009",2012,"female",0.00562963,0.00813143,0.0126118,0.0261282,0.0569812
"E07000009",2012,"male",0.00563154,0.00797486,0.0106387,0.0309712,0.0589084
"E07000009",2013,"female",0.00634289,0.00879767,0.0158202,0.0335097,0.116717
"E07000009",2013,"male",0.00481248,0.006485,0.00952865,0.0162772,0.0411882
"E07000010",2002,"female",0.00525948,0.00779173,0.00986322,0.0391975,0.0398447
"E07000010",2002,"male",0.00447497,0.00580071,0.0109951,0.0395232,0.12774
"E07000010",2003,"female",0.00459479,0.00614973,0.00882001,0.0215012,0.0587738
"E07000010",2003,"male",0.00504312,0.00661739,0.00764018,0.0178137,0.0588648
"E07000010",2004,"female",0.00391178,0.00528601,0.00862596,0.0166864,0.0398528
"E07000010",2004,"male",0.00594406,0.00755431,0.00819458,0.0297583,0.0611132
"E07000010",2005,"female",0.00441235,0.0051418,0.00674166,0.0163202,0.0450485
"E07000010",2005,"male",0.0045676,0.00525516,0.00680583,0.0226032,0.0382406
"E07000010",2006,"female",0.00484632,0.00667047,0.0113204,0.0185961,0.0468144
"E07000010",2006,"male",0.00507669,0.00624738,0.00937102,0.0245409,0.0488652
"E07000010",2007,"female",0.00408441,0.00580163,0.00914677,0.0346011,0.0659884
"E07000010",2007,"male",0.00396308,0.00436617,0.00706972,0.0248133,0.0460265
"E07000010",2008,"female",0.00478333,0.00632389,0.010134,0.0186479,0.063408
"E07000010",2008,"male",0.00496195,0.00561733,0.00615578,0.0220664,0.0529944
"E07000010",2009,"female",0.00593893,0.00835702,0.0131952,0.0248576,0.0693575
"E07000010",2009,"male",0.00521737,0.00706778,0.00637203,0.026957,0.0747661
"E07000010",2010,"female",0.00500888,0.00682793,0.0107495,0.0248472,0.0882726
"E07000010",2010,"male",0.00416446,0.00574464,0.00994727,0.0296206,0.0604412
"E07000010",2011,"female",0.00577839,0.00765338,0.0101209,0.0213001,0.0449542
"E07000010",2011,"male",0.00530312,0.00621402,0.00776801,0.0134173,0.0285387
"E07000010",2012,"female",0.00501124,0.00694286,0.00579339,0.0145446,0.0339275
"E07000010",2012,"male",0.00491955,0.00552508,0.00796365,0.0196693,0.0422916
"E07000010",2013,"female",0.0058434,0.00890846,0.0100604,0.0261365,0.0601616
"E07000010",2013,"male",0.00426599,0.0041665,0.00578982,0.0143243,0.0333239
"E07000011",2002,"female",0.00445401,0.00567766,0.0099504,0.0282281,0.0882069
"E07000011",2002,"male",0.00351886,0.00478954,0.00727855,0.0221,0.0639676
"E07000011",2003,"female",0.00387585,0.00517239,0.00837947,0.0177402,0.0442822
"E07000011",2003,"male",0.00395034,0.00481759,0.0101187,0.0246302,0.043583
"E07000011",2004,"female",0.00564993,0.00601061,0.00766132,0.0337893,0.0783417
"E07000011",2004,"male",0.0038484,0.00356409,0.00700583,0.026472,0.0906316
"E07000011",2005,"female",0.00429682,0.00427447,0.00792612,0.0166949,0.0477511
"E07000011",2005,"male",0.00298244,0.00325555,0.00665392,0.0266874,0.0790154
"E07000011",2006,"female",0.00446838,0.00540792,0.00748622,0.0259102,0.0797425
"E07000011",2006,"male",0.00420337,0.00577208,0.00710053,0.0274606,0.0837847
"E07000011",2007,"female",0.00358248,0.00449778,0.00833592,0.0262279,0.0843107
"E07000011",2007,"male",0.00463601,0.00530718,0.00814993,0.015717,0.0213081
"E07000011",2008,"female",0.00516438,0.00703024,0.0124224,0.0265007,0.0502568
"E07000011",2008,"male",0.00373658,0.00466592,0.00717281,0.0254506,0.0776212
"E07000011",2009,"female",0.003436,0.0040616,0.00606166,0.0210904,0.0534034
"E07000011",2009,"male",0.00516958,0.00748238,0.00735515,0.0183548,0.0344927
"E07000011",2010,"female",0.00368951,0.00521342,0.00733736,0.0143029,0.0411744
"E07000011",2010,"male",0.00339899,0.00362272,0.00534473,0.0214263,0.0651984
"E07000011",2011,"female",0.00436581,0.0057995,0.00676662,0.0232399,0.0322068
"E07000011",2011,"male",0.00331132,0.00452481,0.00587935,0.0264984,0.0494651
"E07000011",2012,"female",0.00378718,0.00421885,0.00737698,0.0211724,0.0306648
"E07000011",2012,"male",0.0031192,0.0037957,0.00698517,0.0195681,0.0574483
"E07000011",2013,"female",0.00498042,0.0071144,0.00746829,0.0172441,0.0428488
"E07000011",2013,"male",0.00478624,0.00665174,0.00789689,0.0203228,0.0426348
"E07000012",2002,"female",0.00452399,0.00548101,0.00919326,0.0277181,0.0333318
"E07000012",2002,"male",0.00525444,0.00503937,0.00785628,0.0212329,0.0659394
"E07000012",2003,"female",0.00566667,0.00794308,0.00837747,0.0194079,0.0341823
"E07000012",2003,"male",0.00485688,0.00622373,0.00600858,0.0267376,0.0632742
"E07000012",2004,"female",0.00601738,0.00907142,0.0142765,0.030806,0.101149
"E07000012",2004,"male",0.00362084,0.00422272,0.00845249,0.0299022,0.0912548
"E07000012",2005,"female",0.00488122,0.0063693,0.00528443,0.0206098,0.0533452
"E07000012",2005,"male",0.00403748,0.00432998,0.00574808,0.0169495,0.034651
"E07000012",2006,"female",0.00475207,0.00623501,0.00957211,0.015424,0.0417668
"E07000012",2006,"male",0.00478545,0.00499136,0.00887064,0.0240367,0.0739499
"E07000012",2007,"female",0.00410611,0.0057897,0.00857794,0.0266352,0.0685463
"E07000012",2007,"male",0.00559419,0.00778154,0.0106531,0.0259481,0.065775
"E07000012",2008,"female",0.00528935,0.00693662,0.0103974,0.0309255,0.0677572
"E07000012",2008,"male",0.00380804,0.00489534,0.00884186,0.0380014,0.136969
"E07000012",2009,"female",0.00542563,0.00638051,0.0090334,0.0320454,0.108251
"E07000012",2009,"male",0.00485099,0.00582151,0.00632703,0.0220799,0.0384844
"E07000012",2010,"female",0.00479497,0.00593633,0.0089065,0.0290633,0.0708178
"E07000012",2010,"male",0.0047979,0.00547041,0.00600397,0.0240218,0.0669834
"E07000012",2011,"female",0.00499871,0.00598959,0.0093686,0.0238987,0.0793838
"E07000012",2011,"male",0.00470743,0.00483619,0.00722473,0.0177087,0.0341707
"E07000012",2012,"female",0.0052361,0.0071674,0.0103681,0.0321012,0.0460529
"E07000012",2012,"male",0.00510337,0.00648242,0.00988125,0.0215732,0.0587282
"E07000012",2013,"female",0.00586882,0.0078622,0.0106283,0.0175397,0.0514952
"E07000012",2013,"male",0.00420796,0.0063402,0.0129921,0.0474865,0.167104
"E07000026",2002,"female",0.00407221,0.00522393,0.00741841,0.024868,0.0471649
"E07000026",2002,"male",0.00440768,0.00562716,0.00513898,0.0188708,0.0306597
"E07000026",2003,"female",0.00474475,0.00467522,0.00687762,0.0260923,0.0326165
"E07000026",2003,"male",0.00335541,0.00426886,0.00717065,0.0296975,0.10015
"E07000026",2004,"female",0.00396944,0.0049297,0.00627937,0.0147172,0.0223093
"E07000026",2004,"male",0.00441926,0.0052021,0.00613416,0.0266771,0.082751
"E07000026",2005,"female",0.00447796,0.00635472,0.00991681,0.022706,0.0781945
"E07000026",2005,"male",0.00495433,0.00438759,0.00684252,0.0286449,0.0725991
"E07000026",2006,"female",0.00512011,0.00699211,0.00907338,0.0205209,0.0617944
"E07000026",2006,"male",0.00444147,0.0052846,0.00767198,0.024536,0.084186
"E07000026",2007,"female",0.00419904,0.00599568,0.00752026,0.0380224,0.107816
"E07000026",2007,"male",0.00460453,0.00525794,0.00702005,0.0243491,0.0638896
"E07000026",2008,"female",0.00475115,0.00640671,0.00837792,0.0351414,0.0989925
"E07000026",2008,"male",0.00374273,0.00454202,0.00691744,0.0238127,0.0558338
"E07000026",2009,"female",0.00301648,0.00383934,0.00579591,0.0150444,0.0519288
"E07000026",2009,"male",0.00468761,0.00639608,0.0105201,0.0345189,0.0753712
"E07000026",2010,"female",0.00551052,0.00722335,0.00826773,0.027726,0.0810305
"E07000026",2010,"male",0.00393498,0.00530413,0.00685837,0.0230375,0.065549
"E07000026",2011,"female",0.00424713,0.00618445,0.00862228,0.0265562,0.0886142
"E07000026",2011,"male",0.0042211,0.00436423,0.00610121,0.0234618,0.0711836
"E07000026",2012,"female",0.00394049,0.00605127,0.00886545,0.0431748,0.0701282
"E07000026",2012,"male",0.00463145,0.00422949,0.0069039,0.0260668,0.0903188
"E07000026",2013,"female",0.00501095,0.00602721,0.00844149,0.0277623,0.0417881
"E07000026",2013,"male",0.00431601,0.00432648,0.00655184,0.0179244,0.0464827
"E07000027",2002,"female",0.00368853,0.0043642,0.00675962,0.0216736,0.068406
"E07000027",2002,"male",0.00440388,0.0047854,0.00742772,0.0372757,0.126917
"E07000027",2003,"female",0.00409577,0.00639346,0.0100525,0.0217539,0.049797
"E07000027",2003,"male",0.00449962,0.00535195,0.0108927,0.0481926,0.119876
"E07000027",2004,"female",0.00422046,0.00664713,0.0095481,0.0279661,0.0708513
"E07000027",2004,"male",0.00492801,0.00429258,0.00875912,0.0210354,0.037804
"E07000027",2005,"female",0.00379752,0.00544527,0.00852306,0.0290863,0.0601143
"E07000027",2005,"male",0.00423464,0.00645127,0.00841568,0.0259606,0.0727571
"E07000027",2006,"female",0.00474944,0.00699989,0.00914751,0.0410676,0.0841453
"E07000027",2006,"male",0.00599068,0.00771538,0.00792003,0.0296378,0.0875183
"E07000027",2007,"female",0.0046899,0.00650437,0.0103707,0.0269528,0.0823167
"E07000027",2007,"male",0.00472664,0.00554827,0.00839815,0.0371846,0.115541
"E07000027",2008,"female",0.00569811,0.00827654,0.00787194,0.0296854,0.0503019
"E07000027",2008,"male",0.00399235,0.00576062,0.00840138,0.0241477,0.0338572
"E07000027",2009,"female",0.00442365,0.00635254,0.00991336,0.0265179,0.0417488
"E07000027",2009,"male",0.00541332,0.00663458,0.00856546,0.0306655,0.0607467
"E07000027",2010,"female",0.00457023,0.00616398,0.00716116,0.026786,0.0598145
"E07000027",2010,"male",0.00455653,0.0061916,0.00968057,0.0374752,0.117884
"E07000027",2011,"female",0.00434204,0.00640971,0.00963432,0.039531,0.100454
"E07000027",2011,"male",0.00480198,0.00618676,0.00944049,0.0398333,0.105632
"E07000027",2012,"female",0.0050426,0.00671754,0.00861326,0.0196017,0.0461838
"E07000027",2012,"male",0.00483412,0.00562267,0.00858321,0.0237626,0.0846263
"E07000027",2013,"female",0.00475306,0.00596129,0.0104044,0.0199359,0.0451773
"E07000027",2013,"male",0.00512372,0.00622945,0.0101747,0.0303191,0.059314
"E07000028",2002,"female",0.0042676,0.00533997,0.006809,0.0192745,0.0465607
"E07000028",2002,"male",0.00413418,0.00548578,0.0095474,0.0301206,0.0888575
"E07000028",2003,"female",0.00396424,0.00445533,0.00600738,0.0239425,0.068937
"E07000028",2003,"male",0.0037734,0.00488887,0.00740148,0.0339719,0.117347
"E07000028",2004,"female",0.00404497,0.00533454,0.00799623,0.0168505,0.0504583
"E07000028",2004,"male",0.00507739,0.00571115,0.00895203,0.022024,0.0436376
"E07000028",2005,"female",0.00386501,0.00564163,0.00698665,0.0267225,0.0668758
"E07000028",2005,"male",0.00343232,0.00364609,0.00732942,0.0214109,0.0421078
"E07000028",2006,"female",0.00494858,0.00649295,0.0119951,0.0206799,0.0598793
"E07000028",2006,"male",0.00401362,0.00499939,0.00633929,0.01637,0.0134507
"E07000028",2007,"female",0.00434521,0.00508648,0.00963605,0.0357538,0.113467
"E07000028",2007,"male",0.00359243,0.00435184,0.00750801,0.0253254,0.0722028
"E07000028",2008,"female",0.00386601,0.00569245,0.00559235,0.0174097,0.0482441
"E07000028",2008,"male",0.00451175,0.00516671,0.0063519,0.019199,0.0410145
"E07000028",2009,"female",0.00444576,0.00625305,0.00886548,0.0215426,0.0553529
"E07000028",2009,"male",0.00457839,0.00526954,0.00677894,0.0247433,0.0680315
"E07000028",2010,"female",0.0043274,0.00531492,0.00688764,0.0210428,0.0436215
"E07000028",2010,"male",0.00441307,0.0048688,0.00733977,0.0334768,0.0895734
"E07000028",2011,"female",0.0046082,0.00569491,0.00831364,0.0154284,0.0197763
"E07000028",2011,"male",0.00474637,0.00562287,0.00887541,0.0276487,0.0593913
"E07000028",2012,"female",0.00465324,0.00667098,0.00964538,0.0254324,0.0706227
"E07000028",2012,"male",0.00447676,0.0059947,0.0121276,0.035259,0.0464687
"E07000028",2013,"female",0.00349629,0.00482713,0.00810587,0.0145976,0.0360009
"E07000028",2013,"male",0.00521499,0.0058614,0.00763569,0.0253345,0.0829441
"E07000029",2002,"female",0.00462674,0.00612238,0.00986343,0.0365179,0.0661557
"E07000029",2002,"male",0.00475247,0.00613572,0.00824467,0.0276967,0.0905281
"E07000029",2003,"female",0.00378935,0.00521074,0.00835742,0.0286397,0.0650093
"E07000029",2003,"male",0.00346928,0.00474147,0.00898522,0.03302,0.0865552
"E07000029",2004,"female",0.00466258,0.00619707,0.0113558,0.0320586,0.100563
"E07000029",2004,"male",0.00570362,0.00835481,0.0108789,0.035088,0.0932042
"E07000029",2005,"female",0.00481164,0.00711405,0.00962713,0.0367042,0.112773
"E07000029",2005,"male",0.00487167,0.00606351,0.00843349,0.0245643,0.0842008
"E07000029",2006,"female",0.00547608,0.00810147,0.00903508,0.0248695,0.0639723
"E07000029",2006,"male",0.00504183,0.00629983,0.00781216,0.0296483,0.0804798
"E07000029",2007,"female",0.00515102,0.00666058,0.00785117,0.0329495,0.0823377
"E07000029",2007,"male",0.00483717,0.00463328,0.0090571,0.0299885,0.0784813
"E07000029",2008,"female",0.00498687,0.00773167,0.00868344,0.0285568,0.0925303
"E07000029",2008,"male",0.0046651,0.00531702,0.00882114,0.0373546,0.124626
"E07000029",2009,"female",0.0056753,0.00679321,0.0113202,0.0259468,0.0341737
"E07000029",2009,"male",0.00452211,0.00495482,0.00645818,0.027548,0.0859265
"E07000029",2010,"female",0.0053829,0.00798765,0.0163479,0.0236383,0.0418783
"E07000029",2010,"male",0.00506633,0.00639466,0.0107264,0.0441821,0.145673
"E07000029",2011,"female",0.00597924,0.00828199,0.00883564,0.0226949,0.0639749
"E07000029",2011,"male",0.00450158,0.00519571,0.00879198,0.040123,0.090516
"E07000029",2012,"female",0.00459416,0.00649546,0.0106697,0.0282044,0.0784365
"E07000029",2012,"male",0.00480554,0.00604167,0.00723877,0.0220741,0.0674759
"E07000029",2013,"female",0.0051397,0.00690408,0.00926597,0.0353074,0.0511154
"E07000029",2013,"male",0.00561757,0.0073495,0.00936235,0.0387791,0.109657
"E07000030",2002,"female",0.00590902,0.00918603,0.0142742,0.0259811,0.0945377
"E07000030",2002,"male",0.00340831,0.00468918,0.00749141,0.0318155,0.102019
"E07000030",2003,"female",0.00533026,0.0080238,0.0100406,0.0282371,0.0843206
"E07000030",2003,"male",0.00382622,0.00606524,0.0100078,0.0271375,0.0683395
"E07000030",2004,"female",0.00618632,0.00923098,0.0152876,0.0369721,0.0397037
"E07000030",2004,"male",0.00478926,0.00765327,0.0125211,0.0524602,0.147084
"E07000030",2005,"female",0.0049332,0.0072707,0.00938885,0.0364299,0.0725378
"E07000030",2005,"male",0.00555321,0.00660073,0.00924088,0.0451546,0.143754
"E07000030",2006,"female",0.0049681,0.00748538,0.00842247,0.0321576,0.0731844
"E07000030",2006,"male",0.00472931,0.00548389,0.0078131,0.031834,0.0608897
"E07000030",2007,"female",0.00547343,0.00761094,0.0138693,0.0458309,0.128967
"E07000030",2007,"male",0.00427998,0.00660575,0.012041,0.0353182,0.0554729
"E07000030",2008,"female",0.00411576,0.00652575,0.00810546,0.0186613,0.0349786
"E07000030",2008,"male",0.00603366,0.0080499,0.0113461,0.0451393,0.165238
"E07000030",2009,"female",0.00531696,0.00705316,0.00825004,0.0264358,0.0890094
"E07000030",2009,"male",0.00580365,0.00727796,0.0113578,0.0568316,0.163797
"E07000030",2010,"female",0.0059381,0.00721619,0.0115077,0.0275526,0.0596853
"E07000030",2010,"male",0.00482011,0.00596395,0.0104731,0.037847,0.10008
"E07000030",2011,"female",0.00514828,0.00830754,0.0164272,0.0362677,0.131417
"E07000030",2011,"male",0.00460929,0.00672012,0.00976478,0.0422192,0.152839
"E07000030",2012,"female",0.00655045,0.00801251,0.0120552,0.0304612,0.0810981
"E07000030",2012,"male",0.00634103,0.00936451,0.0163989,0.0338759,0.107184
"E07000030",2013,"female",0.00558516,0.00812439,0.0115197,0.029318,0.0498787
"E07000030",2013,"male",0.00582383,0.00702485,0.00986995,0.0363795,0.121805
"E07000031",2002,"female",0.00509364,0.00473047,0.0070035,0.021055,0.0570039
"E07000031",2002,"male",0.00480461,0.00570362,0.00631896,0.0193631,0.0563148
"E07000031",2003,"female",0.00382933,0.00490773,0.00660458,0.0289639,0.104298
"E07000031",2003,"male",0.00495472,0.00775868,0.00704767,0.0169908,0.0414788
"E07000031",2004,"female",0.00542696,0.00637477,0.0117759,0.0241468,0.0364549
