"la","year","sex","s_35","s_50","s_65","s_80","s_85"
"E06000002",2005,"female",0.00431661,0.00496609,0.00764136,0.01883,0.0401361
"E06000002",2005,"male",0.00310449,0.0030657,0.00563126,0.0249942,0.0312369
"E06000002",2006,"female",0.00396844,0.00521658,0.00755034,0.029593,0.0988935
"E06000002",2006,"male",0.00418227,0.00327598,0.0052876,0.0203607,0.052337
"E06000002",2007,"female",0.00491602,0.00414182,0.00697798,0.0261485,0.0747556
"E06000002",2007,"male",0.00324634,0.0038774,0.00638481,0.028004,0.0770477
"E06000002",2008,"female",0.00378495,0.00503795,0.00565335,0.0167351,0.0336045
"E06000002",2008,"male",0.00385747,0.00458769,0.0074027,0.024499,0.0630239
"E06000002",2009,"female",0.00361578,0.00410936,0.0065626,0.0182318,0.0602279
"E06000002",2009,"male",0.00416214,0.0048727,0.00647404,0.0286513,0.084773
"E06000002",2010,"female",0.00384913,0.00451671,0.00849382,0.0241124,0.0376335
"E06000002",2010,"male",0.0036216,0.00484074,0.00790045,0.0230425,0.0631981
"E06000002",2011,"female",0.00328523,0.00528787,0.00767149,0.0232478,0.078346
"E06000002",2011,"male",0.00319897,0.00384287,0.00433835,0.0126389,0.0303742
"E06000002",2012,"female",0.00418786,0.00575933,0.00685483,0.0259793,0.071609
"E06000002",2012,"male",0.00364727,0.00503939,0.00723538,0.0207092,0.025493
"E06000002",2013,"female",0.00509255,0.00610143,0.00821023,0.0181563,0.0402481
"E06000002",2013,"male",0.00327976,0.00368635,0.00564534,0.0224238,0.0517568
"E06000003",2002,"female",0.00421858,0.00550022,0.00704717,0.0277204,0.0733289
"E06000003",2002,"male",0.00448824,0.00557416,0.00613352,0.0275966,0.0909483
"E06000003",2003,"female",0.00424972,0.00640384,0.00588108,0.0243537,0.0546445
"E06000003",2003,"male",0.00395363,0.0046939,0.00709728,0.0253842,0.0704799
"E06000003",2004,"female",0.00353113,0.00488257,0.00635304,0.0242189,0.0480253
"E06000003",2004,"male",0.00379609,0.00470193,0.00896695,0.0372922,0.133634
"E06000003",2005,"female",0.00411248,0.00551265,0.00698965,0.025282,0.0392554
"E06000003",2005,"male",0.0039314,0.00379425,0.00715504,0.025648,0.0885067
"E06000003",2006,"female",0.00300863,0.00456456,0.0066552,0.0236757,0.0838198
"E06000003",2006,"male",0.00338213,0.00436701,0.00548195,0.0192915,0.0690081
"E06000003",2007,"female",0.00350311,0.00405162,0.00784119,0.0204408,0.021862
"E06000003",2007,"male",0.00343364,0.00334426,0.00612276,0.0192261,0.0395796
"E06000003",2008,"female",0.00462515,0.00564409,0.0099497,0.0289293,0.0899158
"E06000003",2008,"male",0.00384305,0.00325193,0.00560408,0.0239788,0.0560947
"E06000003",2009,"female",0.00388123,0.00542788,0.00592801,0.0205682,0.0439236
"E06000003",2009,"male",0.00300294,0.00354099,0.00617289,0.0200901,0.0379155
"E06000003",2010,"female",0.00457346,0.00555625,0.00762352,0.0191756,0.0270735
"E06000003",2010,"male",0.00444441,0.00442743,0.00686198,0.0265639,0.0772983
"E06000003",2011,"female",0.00368225,0.00406845,0.00684766,0.027987,0.0867971
"E06000003",2011,"male",0.00429281,0.00419118,0.00642452,0.0181653,0.0395511
"E06000003",2012,"female",0.00390564,0.00448307,0.00662055,0.0220252,0.0647042
"E06000003",2012,"male",0.00473318,0.00353777,0.00582374,0.0214935,0.0635135
