"la","year","sex","c_35","c_50","c_65","c_80","c_85"
"E06000004",2002,"female",0.101887,0.106396,0.10843,0.120483,0.147876
"E06000004",2002,"male",0.101595,0.101752,0.103768,0.110081,0.101252
"E06000004",2003,"female",0.11256,0.106588,0.13173,0.111223,0.06219
"E06000004",2003,"male",0.109178,0.106877,0.103334,0.116172,0.164185
"E06000004",2004,"female",0.0978185,0.103415,0.115133,0.115457,0.179906
"E06000004",2004,"male",0.0987212,0.105713,0.0968259,0.114424,0.117324
"E06000004",2005,"female",0.104858,0.116694,0.118923,0.125003,0.176484
"E06000004",2005,"male",0.0966899,0.104123,0.106755,0.100666,0.0993738
"E06000004",2006,"female",0.0976094,0.109219,0.117405,0.12555,0.112693
"E06000004",2006,"male",0.0971591,0.10694,0.110252,0.0898214,0.170254
"E06000004",2007,"female",0.108988,0.109987,0.126903,0.128022,0.185024
"E06000004",2007,"male",0.0929487,0.0976958,0.10738,0.123024,0.134882
"E06000004",2008,"female",0.099819,0.106961,0.117356,0.13819,0.20515
"E06000004",2008,"male",0.0982921,0.10302,0.102562,0.0964489,0.109264
"E06000004",2009,"female",0.0933894,0.105277,0.116672,0.118724,0.118194
"E06000004",2009,"male",0.103372,0.10539,0.111387,0.0983326,0.128366
"E06000004",2010,"female",0.0956746,0.109124,0.115806,0.10686,0.139005
"E06000004",2010,"male",0.0979837,0.10453,0.106001,0.0998535,0.165204
"E06000004",2011,"female",0.0971152,0.101934,0.120809,0.136307,0.135547
"E06000004",2011,"male",0.0970939,0.106841,0.109318,0.138149,0.144265
"E06000004",2012,"female",0.0948975,0.107769,0.126525,0.154143,0.131092
"E06000004",2012,"male",0.096596,0.1097,0.103993,0.130529,0.149535
"E06000004",2013,"female",0.10216,0.111116,0.121096,0.134893,0.174651
"E06000004",2013,"male",0.097755,0.0985328,0.102628,0.166403,0.18691
"E06000005",2002,"female",0.101925,0.104553,0.107217,0.122955,0.132707
"E06000005",2002,"male",0.106183,0.10623,0.101773,0.119614,0.165127
"E06000005",2003,"female",0.0902222,0.106371,0.113502,0.0920602,0.254665
"E06000005",2003,"male",0.0973136,0.0986256,0.0946416,0.113963,0.0972086
"E06000005",2004,"female",0.0976262,0.107082,0.10794,0.127001,0.140427
"E06000005",2004,"male",0.0988994,0.100306,0.107155,0.107137,0.174813
"E06000005",2005,"female",0.0909699,0.0998061,0.122275,0.14081,0.211973
"E06000005",2005,"male",0.0927418,0.102252,0.103822,0.124917,0.206071
"E06000005",2006,"female",0.0937781,0.121765,0.117435,0.125485,0.107071
"E06000005",2006,"male",0.095191,0.0986013,0.100738,0.133359,0.120766
"E06000005",2007,"female",0.0884818,0.1067,0.129083,0.13344,0.182864
"E06000005",2007,"male",0.0927017,0.0945429,0.109399,0.0835582,0.0644512
"E06000005",2008,"female",0.101112,0.110323,0.126371,0.110602,0.233481
"E06000005",2008,"male",0.0853199,0.10066,0.122436,0.114907,0.0574972
"E06000005",2009,"female",0.101211,0.103853,0.117948,0.161606,0.177014
"E06000005",2009,"male",0.0865661,0.089767,0.110538,0.168637,0.176022
"E06000005",2010,"female",0.0873117,0.100723,0.106171,0.127385,0.173793
"E06000005",2010,"male",0.099345,0.102879,0.0988804,0.100905,0.19147
"E06000005",2011,"female",0.0936988,0.091968,0.112334,0.113386,0.226244
"E06000005",2011,"male",0.0908342,0.0990357,0.11814,0.106216,0.187989
"E06000005",2012,"female",0.0958475,0.107331,0.114221,0.135518,0.13557
"E06000005",2012,"male",0.0924984,0.10252,0.105098,0.110737,0.217713
"E06000005",2013,"female",0.0945698,0.107185,0.128174,0.164156,0.210031
"E06000005",2013,"male",0.0893482,0.098249,0.094706,0.109224,0.191776
"E06000006",2002,"female",0.104456,0.110955,0.120399,0.14431,0.215152
"E06000006",2002,"male",0.0886523,0.105334,0.105478,0.120468,0.115532
"E06000006",2003,"female",0.101808,0.106185,0.123081,0.123813,0.247745
"E06000006",2003,"male",0.0971395,0.103831,0.113327,0.111145,0.015877
"E06000006",2004,"female",0.101665,0.109417,0.111375,0.09936,0.107385
"E06000006",2004,"male",0.0906431,0.0986116,0.095462,0.0849061,0.139188
"E06000006",2005,"female",0.0861609,0.104514,0.108617,0.118882,0.056767
"E06000006",2005,"male",0.0970755,0.0919535,0.0835227,0.0870836,0.219381
"E06000006",2006,"female",0.0995296,0.102003,0.120211,0.129536,0.205599
"E06000006",2006,"male",0.0928761,0.102185,0.11669,0.126716,0.165201
"E06000006",2007,"female",0.0949342,0.108871,0.108772,0.133464,0.225893
"E06000006",2007,"male",0.0876387,0.101678,0.102997,0.149535,0.0664514
"E06000006",2008,"female",0.0964329,0.108056,0.118969,0.123008,0.331195
"E06000006",2008,"male",0.0968013,0.10771,0.103365,0.104395,0.166064
"E06000006",2009,"female",0.101702,0.100861,0.122375,0.145088,0.184516
"E06000006",2009,"male",0.0964518,0.118599,0.107854,0.143342,0.100006
"E06000006",2010,"female",0.0970624,0.103412,0.110517,0.101025,0.112825
"E06000006",2010,"male",0.0985545,0.100632,0.105867,0.158077,0.214532
"E06000006",2011,"female",0.0932842,0.0992665,0.105249,0.144675,0.179935
"E06000006",2011,"male",0.0967919,0.10486,0.10626,0.106977,0.135208
"E06000006",2012,"female",0.0909334,0.104632,0.113008,0.145109,0.117603
"E06000006",2012,"male",0.0949722,0.105172,0.113098,0.133532,0.18329
"E06000006",2013,"female",0.101692,0.116746,0.100529,0.139477,0.167842
"E06000006",2013,"male",0.0907606,0.104906,0.111324,0.0935264,0.137706
"E06000007",2002,"female",0.108357,0.109802,0.117277,0.134944,0.109639
"E06000007",2002,"male",0.101216,0.110309,0.104908,0.105163,0.164022
"E06000007",2003,"female",0.101016,0.117675,0.124457,0.14995,0.15314
"E06000007",2003,"male",0.105776,0.114072,0.105381,0.128749,0.1568
"E06000007",2004,"female",0.104552,0.112876,0.117392,0.146988,0.200147
"E06000007",2004,"male",0.0975101,0.106454,0.113232,0.125359,0.138666
"E06000007",2005,"female",0.100081,0.110452,0.129385,0.145436,0.109244
"E06000007",2005,"male",0.105319,0.0986155,0.0972758,0.0963803,0.118428
"E06000007",2006,"female",0.100796,0.105961,0.112327,0.134874,0.189917
"E06000007",2006,"male",0.101224,0.103917,0.114229,0.122565,0.136194
"E06000007",2007,"female",0.10202,0.105398,0.116831,0.133054,0.144383
"E06000007",2007,"male",0.108256,0.106936,0.119839,0.10019,0.15169
"E06000007",2008,"female",0.10228,0.104809,0.120946,0.15185,0.141685
"E06000007",2008,"male",0.100881,0.109105,0.118649,0.13188,0.135661
"E06000007",2009,"female",0.0999164,0.117216,0.125138,0.150702,0.20584
"E06000007",2009,"male",0.104227,0.10095,0.118779,0.129424,0.151499
"E06000007",2010,"female",0.101158,0.112234,0.132247,0.151487,0.207367
"E06000007",2010,"male",0.0966642,0.107311,0.118072,0.153299,0.122033
"E06000007",2011,"female",0.0956356,0.105451,0.12339,0.10683,0.0897973
"E06000007",2011,"male",0.10036,0.0991193,0.115575,0.1346,0.213302
"E06000007",2012,"female",0.101779,0.112161,0.134943,0.163088,0.1674
"E06000007",2012,"male",0.104273,0.107477,0.111694,0.102963,0.182557
"E06000007",2013,"female",0.103135,0.114099,0.127484,0.135502,0.187802
"E06000007",2013,"male",0.0993851,0.111349,0.123241,0.142976,0.163841
"E06000008",2002,"female",0.0930771,0.100009,0.0942819,0.113861,0.0960489
"E06000008",2002,"male",0.104546,0.103848,0.102345,0.137568,0.237178
"E06000008",2003,"female",0.101375,0.10863,0.108239,0.149703,0.188
"E06000008",2003,"male",0.0874547,0.102918,0.106484,0.118146,0.0871101
"E06000008",2004,"female",0.0951286,0.0981138,0.113415,0.12169,0.182111
"E06000008",2004,"male",0.103837,0.101097,0.101351,0.134054,0.23167
"E06000008",2005,"female",0.102072,0.102059,0.0914361,0.137358,0.140354
"E06000008",2005,"male",0.098017,0.103895,0.107278,0.132914,0.187082
"E06000008",2006,"female",0.0988464,0.0993014,0.102826,0.114878,0.121812
"E06000008",2006,"male",0.0931017,0.100344,0.105794,0.109945,0.0592872
"E06000008",2007,"female",0.0996088,0.110807,0.105278,0.123198,0.201569
"E06000008",2007,"male",0.0882371,0.098432,0.103519,0.150095,0.215474
"E06000008",2008,"female",0.0943258,0.102896,0.122439,0.145912,0.169046
"E06000008",2008,"male",0.0873747,0.0967306,0.106858,0.110574,0.143781
"E06000008",2009,"female",0.101066,0.10335,0.112715,0.120618,0.129988
"E06000008",2009,"male",0.0878426,0.0970182,0.113148,0.144126,0.0403701
"E06000008",2010,"female",0.0917357,0.106157,0.120782,0.141361,0.10636
"E06000008",2010,"male",0.0883598,0.0992149,0.113914,0.104834,0.0695338
"E06000008",2011,"female",0.10527,0.101509,0.0978418,0.120605,0.209607
"E06000008",2011,"male",0.0906935,0.0956389,0.107595,0.100303,0.0937985
"E06000008",2012,"female",0.0966408,0.109812,0.112975,0.133984,0.21777
"E06000008",2012,"male",0.0923731,0.101799,0.122452,0.134966,0.147239
"E06000008",2013,"female",0.101889,0.117032,0.117742,0.13165,0.201089
"E06000008",2013,"male",0.0902676,0.0993458,0.115021,0.147063,0.215314
"E06000009",2002,"female",0.0918783,0.0971638,0.107365,0.119608,0.124723
"E06000009",2002,"male",0.0817516,0.091695,0.103738,0.111508,0.068521
"E06000009",2003,"female",0.0954738,0.102971,0.115861,0.128905,0.19412
"E06000009",2003,"male",0.0851942,0.0985918,0.109762,0.0995691,0.11318
"E06000009",2004,"female",0.0904426,0.092039,0.121394,0.128838,0.208395
"E06000009",2004,"male",0.0830938,0.0922759,0.0896652,0.113013,0.177789
"E06000009",2005,"female",0.0918697,0.0919388,0.102374,0.108766,0.197131
"E06000009",2005,"male",0.0916812,0.0973487,0.105771,0.121896,0.130682
"E06000009",2006,"female",0.0912739,0.0967635,0.106569,0.120526,0.217291
"E06000009",2006,"male",0.0822425,0.0867905,0.104632,0.117427,0.15867
"E06000009",2007,"female",0.087872,0.0946644,0.114182,0.124106,0.146144
"E06000009",2007,"male",0.0787611,0.0971933,0.0938552,0.146954,0.166125
"E06000009",2008,"female",0.0939125,0.0987856,0.114385,0.13767,0.159159
"E06000009",2008,"male",0.0873145,0.0904872,0.115119,0.121227,0.10659
"E06000009",2009,"female",0.0911953,0.101218,0.109683,0.13325,0.157029
"E06000009",2009,"male",0.0879136,0.103999,0.098957,0.122926,0.229711
"E06000009",2010,"female",0.0890384,0.0997669,0.111112,0.123056,0.15403
"E06000009",2010,"male",0.081112,0.0858659,0.0912059,0.110704,0.116234
"E06000009",2011,"female",0.0966536,0.102085,0.111235,0.122684,0.181908
"E06000009",2011,"male",0.0780247,0.0919619,0.100815,0.124266,0.169994
"E06000009",2012,"female",0.0880183,0.09678,0.112404,0.140213,0.204824
"E06000009",2012,"male",0.0772136,0.0875935,0.0985263,0.163808,0.124349
"E06000009",2013,"female",0.0926862,0.0990311,0.110344,0.155139,0.142431
"E06000009",2013,"male",0.0802444,0.0889267,0.10751,0.161873,0.181562
"E06000010",2002,"female",0.105447,0.105792,0.101716,0.0974278,0.163731
"E06000010",2002,"male",0.0924973,0.0955684,0.0986121,0.119183,0.0988906
"E06000010",2003,"female",0.0989398,0.112325,0.120749,0.129132,0.208146
"E06000010",2003,"male",0.0974932,0.0989599,0.109572,0.110569,0.236021
"E06000010",2004,"female",0.101462,0.105454,0.11298,0.135313,0.197261
"E06000010",2004,"male",0.0952628,0.0987773,0.100886,0.0987452,0.131049
"E06000010",2005,"female",0.0990917,0.100095,0.105633,0.140636,0.180363
"E06000010",2005,"male",0.0956448,0.101397,0.102605,0.107791,0.135904
"E06000010",2006,"female",0.100823,0.106078,0.106577,0.131925,0.140343
"E06000010",2006,"male",0.0988067,0.0955474,0.104072,0.113199,0.119357
"E06000010",2007,"female",0.100438,0.107289,0.113666,0.138557,0.138117
"E06000010",2007,"male",0.0891675,0.102105,0.10188,0.0644855,0.0198445
"E06000010",2008,"female",0.0969114,0.0965857,0.10943,0.129059,0.156117
"E06000010",2008,"male",0.0906301,0.096798,0.098375,0.107033,0.0418622
"E06000010",2009,"female",0.100862,0.107474,0.117893,0.179597,0.198529
"E06000010",2009,"male",0.0912682,0.0952961,0.101687,0.135981,0.151541
"E06000010",2010,"female",0.0937181,0.100891,0.115223,0.120424,0.150902
"E06000010",2010,"male",0.0863289,0.0936051,0.0995927,0.119134,0.148209
"E06000010",2011,"female",0.0959744,0.0982966,0.109982,0.138889,0.137495
"E06000010",2011,"male",0.090734,0.0989624,0.0957337,0.122799,0.088708
"E06000010",2012,"female",0.0962352,0.116616,0.113439,0.146917,0.153019
"E06000010",2012,"male",0.0884318,0.105668,0.100646,0.103992,0.0960373
"E06000010",2013,"female",0.0951193,0.103948,0.125558,0.136032,0.149353
"E06000010",2013,"male",0.0885799,0.0962759,0.115661,0.123417,0.071907
"E06000011",2002,"female",0.0976253,0.108499,0.124399,0.149816,0.123043
"E06000011",2002,"male",0.104028,0.113681,0.105949,0.130498,0.172606
"E06000011",2003,"female",0.0976035,0.113027,0.123118,0.148916,0.168633
"E06000011",2003,"male",0.105594,0.115007,0.119228,0.11489,0.162598
"E06000011",2004,"female",0.108466,0.110779,0.126136,0.144248,0.156423
"E06000011",2004,"male",0.106357,0.11058,0.113602,0.115238,0.0942526
"E06000011",2005,"female",0.103943,0.113938,0.125779,0.143644,0.198698
"E06000011",2005,"male",0.104901,0.106294,0.113145,0.106087,0.10616
"E06000011",2006,"female",0.103817,0.11204,0.121696,0.152959,0.190676
"E06000011",2006,"male",0.103179,0.110651,0.116929,0.118586,0.201224
"E06000011",2007,"female",0.102016,0.110001,0.124337,0.135486,0.234358
"E06000011",2007,"male",0.107963,0.111008,0.113495,0.129456,0.127089
"E06000011",2008,"female",0.0990209,0.104085,0.131799,0.142398,0.192613
"E06000011",2008,"male",0.104601,0.108697,0.114003,0.118767,0.180504
"E06000011",2009,"female",0.0970974,0.111184,0.120683,0.144724,0.194384
"E06000011",2009,"male",0.104688,0.108655,0.118479,0.133734,0.185277
"E06000011",2010,"female",0.0999128,0.11006,0.129592,0.134809,0.181065
"E06000011",2010,"male",0.0977155,0.111643,0.122032,0.133029,0.192035
"E06000011",2011,"female",0.104138,0.112414,0.123813,0.130791,0.191773
"E06000011",2011,"male",0.0993016,0.111263,0.110875,0.130784,0.19618
"E06000011",2012,"female",0.103923,0.113406,0.128923,0.147991,0.178204
"E06000011",2012,"male",0.0948766,0.103186,0.111649,0.126243,0.184298
"E06000011",2013,"female",0.0999472,0.11207,0.130936,0.171951,0.212152
"E06000011",2013,"male",0.100063,0.11689,0.124717,0.162154,0.187204
"E06000012",2002,"female",0.104564,0.111051,0.126006,0.113542,0.10371
"E06000012",2002,"male",0.0921418,0.104715,0.110472,0.126997,0.0963304
"E06000012",2003,"female",0.099162,0.118091,0.11997,0.102665,0.135492
"E06000012",2003,"male",0.105889,0.116671,0.105924,0.130728,0.117704
"E06000012",2004,"female",0.0967107,0.109891,0.12354,0.114666,0.117031
"E06000012",2004,"male",0.0915033,0.098827,0.115611,0.0928686,0.159126
"E06000012",2005,"female",0.0974625,0.098453,0.111486,0.13284,0.187878
"E06000012",2005,"male",0.0891717,0.0960811,0.100591,0.117066,0.194438
"E06000012",2006,"female",0.102466,0.102942,0.114008,0.128375,0.158477
"E06000012",2006,"male",0.10033,0.102093,0.10323,0.129818,0.18563
"E06000012",2007,"female",0.100136,0.108818,0.125301,0.126258,0.174267
"E06000012",2007,"male",0.0919588,0.0988154,0.110256,0.150154,0.165801
"E06000012",2008,"female",0.0997994,0.116698,0.102256,0.145804,0.195448
"E06000012",2008,"male",0.0946738,0.0996411,0.0964535,0.121161,0.189071
"E06000012",2009,"female",0.099603,0.107459,0.122262,0.143627,0.208483
"E06000012",2009,"male",0.0865371,0.0964201,0.106913,0.135615,0.188367
"E06000012",2010,"female",0.097801,0.107957,0.118488,0.0949315,0.111569
"E06000012",2010,"male",0.0951498,0.10569,0.100271,0.0961687,0.137127
"E06000012",2011,"female",0.0887281,0.0980476,0.105733,0.149913,0.14262
"E06000012",2011,"male",0.088926,0.103499,0.101313,0.121614,0.117531
"E06000012",2012,"female",0.0993443,0.104462,0.118322,0.150886,0.219159
"E06000012",2012,"male",0.0856795,0.102452,0.118429,0.155629,0.122263
"E06000012",2013,"female",0.0928669,0.102762,0.116721,0.141264,0.206391
"E06000012",2013,"male",0.0953053,0.105066,0.10892,0.153346,0.149661
"E06000013",2002,"female",0.103653,0.109234,0.110859,0.107009,0.11296
"E06000013",2002,"male",0.108864,0.11385,0.108233,0.117779,0.186526
"E06000013",2003,"female",0.0999662,0.114359,0.128622,0.157363,0.271233
"E06000013",2003,"male",0.10413,0.100044,0.129819,0.123799,0.0953541
"E06000013",2004,"female",0.100668,0.110858,0.120686,0.139611,0.115876
"E06000013",2004,"male",0.102679,0.121818,0.107521,0.116341,0.226268
"E06000013",2005,"female",0.105313,0.113508,0.127359,0.108501,0.151025
"E06000013",2005,"male",0.0979428,0.107504,0.112528,0.0839981,0.110283
"E06000013",2006,"female",0.094883,0.102138,0.115972,0.136873,0.144033
"E06000013",2006,"male",0.102969,0.113596,0.116489,0.115196,0.21507
"E06000013",2007,"female",0.105609,0.110587,0.130294,0.1199,0.193523
"E06000013",2007,"male",0.10228,0.101213,0.116299,0.114198,0.193019
"E06000013",2008,"female",0.101922,0.103841,0.109926,0.127059,0.151405
"E06000013",2008,"male",0.0878866,0.100238,0.103939,0.0995036,0.0856695
"E06000013",2009,"female",0.0962813,0.0982508,0.112047,0.128832,0.228396
"E06000013",2009,"male",0.0972565,0.115693,0.120503,0.161914,0.149892
"E06000013",2010,"female",0.0931639,0.100342,0.117695,0.113035,0.195573
"E06000013",2010,"male",0.0957545,0.101847,0.117031,0.160965,0.132376
"E06000013",2011,"female",0.0994931,0.10712,0.110028,0.131866,0.0688517
"E06000013",2011,"male",0.0952254,0.104385,0.118998,0.150711,0.122545
"E06000013",2012,"female",0.0975679,0.104835,0.111191,0.141443,0.118126
"E06000013",2012,"male",0.0965766,0.10382,0.116373,0.147901,0.142168
"E06000013",2013,"female",0.0943634,0.112393,0.12159,0.130684,0.110884
"E06000013",2013,"male",0.0995426,0.100905,0.119624,0.14546,0.0873293
"E06000014",2002,"female",0.0974584,0.121028,0.133667,0.157628,0.214635
"E06000014",2002,"male",0.0985879,0.106728,0.110863,0.14914,0.145541
"E06000014",2003,"female",0.102302,0.119379,0.126786,0.118689,0.0726561
"E06000014",2003,"male",0.105546,0.112627,0.104121,0.132539,0.143591
"E06000014",2004,"female",0.0928575,0.112136,0.116016,0.126839,0.216881
"E06000014",2004,"male",0.101206,0.104735,0.118617,0.145011,0.151007
"E06000014",2005,"female",0.100974,0.117236,0.134706,0.142295,0.203517
"E06000014",2005,"male",0.101705,0.110505,0.115751,0.155495,0.164824
"E06000014",2006,"female",0.108317,0.107643,0.114269,0.122761,0.220787
"E06000014",2006,"male",0.101275,0.100554,0.119737,0.127318,0.156885
"E06000014",2007,"female",0.106583,0.110675,0.132268,0.153961,0.221478
"E06000014",2007,"male",0.102543,0.114064,0.110032,0.143361,0.290031
"E06000014",2008,"female",0.101519,0.110877,0.133668,0.126754,0.219055
"E06000014",2008,"male",0.0873638,0.104471,0.100636,0.106625,0.0948536
"E06000014",2009,"female",0.106513,0.125627,0.117521,0.143029,0.242759
"E06000014",2009,"male",0.100915,0.110419,0.110635,0.139586,0.191078
"E06000014",2010,"female",0.0952875,0.122759,0.128453,0.162175,0.150526
"E06000014",2010,"male",0.099056,0.102205,0.123853,0.146177,0.164
"E06000014",2011,"female",0.0977334,0.108981,0.128946,0.140586,0.149694
"E06000014",2011,"male",0.0954638,0.109562,0.118173,0.113181,0.180898
"E06000014",2012,"female",0.0901807,0.0996605,0.120916,0.138495,0.11683
"E06000014",2012,"male",0.100692,0.113194,0.11788,0.140145,0.210221
"E06000014",2013,"female",0.098752,0.113795,0.134592,0.17096,0.202719
"E06000014",2013,"male",0.101559,0.111863,0.114284,0.127559,0.186867
"E06000015",2002,"female",0.105568,0.101924,0.11277,0.127301,0.154069
"E06000015",2002,"male",0.0954738,0.106234,0.0963627,0.0938963,0.0851546
"E06000015",2003,"female",0.0992617,0.110796,0.122593,0.118972,0.211393
"E06000015",2003,"male",0.102202,0.101961,0.119515,0.107588,0.13024
"E06000015",2004,"female",0.0949448,0.10568,0.116045,0.154199,0.198
"E06000015",2004,"male",0.0938539,0.101329,0.102935,0.103529,0.217802
"E06000015",2005,"female",0.101584,0.105435,0.112382,0.135946,0.197102
"E06000015",2005,"male",0.0921366,0.101204,0.107267,0.0853377,0.17827
"E06000015",2006,"female",0.103397,0.108823,0.115067,0.165423,0.239937
"E06000015",2006,"male",0.0957977,0.100856,0.104045,0.116801,0.135548
"E06000015",2007,"female",0.0951128,0.105098,0.118503,0.12453,0.193234
"E06000015",2007,"male",0.0958151,0.106757,0.106303,0.0852584,0.12642
"E06000015",2008,"female",0.0956136,0.107503,0.126505,0.156746,0.18127
"E06000015",2008,"male",0.0932696,0.0942402,0.105878,0.124828,0.12012
"E06000015",2009,"female",0.0970085,0.0997222,0.117159,0.137851,0.172778
"E06000015",2009,"male",0.0910311,0.100116,0.106657,0.114339,0.13002
"E06000015",2010,"female",0.0962391,0.101963,0.111876,0.134197,0.184954
"E06000015",2010,"male",0.092234,0.100247,0.104754,0.159964,0.171901
"E06000015",2011,"female",0.0990254,0.0948008,0.113517,0.138317,0.155765
"E06000015",2011,"male",0.0949225,0.0992393,0.106972,0.108961,0.171136
"E06000015",2012,"female",0.0952083,0.102474,0.119007,0.134576,0.166173
"E06000015",2012,"male",0.093466,0.101948,0.109202,0.121602,0.156692
"E06000015",2013,"female",0.0957702,0.103935,0.118843,0.136149,0.222553
"E06000015",2013,"male",0.0924085,0.105139,0.111771,0.122451,0.182952
"E06000016",2002,"female",0.101868,0.104932,0.117641,0.132291,0.165824
"E06000016",2002,"male",0.0967806,0.0992691,0.107061,0.135845,0.181367
"E06000016",2003,"female",0.0955336,0.100772,0.107496,0.125588,0.0926508
"E06000016",2003,"male",0.0906079,0.0982884,0.0968004,0.127366,0.100078
"E06000016",2004,"female",0.0967769,0.105026,0.115387,0.128632,0.133231
