"year","region","class","adults_65_pc","adults_us6_learning_pc","adults_u65_mental_pc","adults_u65_other_pc","adults_u65_physical_pc","adults_u65_social_care_pc"
2009,"EE","SC",1162.58,221.764,44.5584,22.7997,62.1126,0.648369
2009,"EE","UA",1135.37,177.015,30.0323,91.4486,42.6799,6.26546
2009,"EM","SC",1106.27,165.699,40.5878,26.2859,56.4334,2.6502
2009,"EM","UA",1395.26,161.322,47.6086,31.5582,70.2782,2.13095
2009,"L","L",1777.46,183.77,70.5318,22.2747,64.7758,6.05055
2009,"NE","MD",1654.84,218.997,48.8904,15.363,70.3727,26.9474
2009,"NE","UA",1464.91,196.986,46.1666,14.184,61.467,5.23602
2009,"NW","MD",1398.66,183.089,61.5632,37.98,76.5388,18.7031
2009,"NW","SC",1218.8,144.157,53.1655,17.2661,64.5434,0.915306
2009,"NW","UA",1323.27,192.366,48.1984,10.2891,59.0487,6.91009
2009,"SE","SC",1092.43,167.143,33.8006,13.665,54.9729,1.22044
2009,"SE","UA",1361.15,177.363,42.8126,26.694,57.1496,16.317
2009,"SW","SC",1011.97,192.984,37.2641,8.46323,61.5103,2.50864
2009,"SW","UA",1121.74,190.209,34.7536,16.4695,57.1688,3.27642
2009,"WM","MD",1496.14,217.221,60.8629,52.8846,56.0806,4.07717
2009,"WM","SC",1085.49,160.226,31.1144,15.3676,48.8891,2.37998
2009,"WM","UA",1146.09,184,43.7599,14.5449,59.0373,2.89827
2009,"YH","MD",1344.89,166.156,38.5848,21.7967,53.3483,7.10196
2009,"YH","SC",995.694,160.584,23.5933,3.99943,51.1375,0.946036
2009,"YH","UA",1243.45,146.715,42.9127,13.4718,50.5435,6.29312
2010,"EE","SC",1077.03,222.085,45.9925,14.8803,61.0305,0.52489
2010,"EE","UA",1177.02,191.088,29.1513,42.5493,41.2381,3.69556
2010,"EM","SC",1064.84,166.045,39.0991,31.7084,59.5232,0.913806
2010,"EM","UA",1412.97,176.93,47.7665,39.6951,66.9239,2.28737
2010,"L","L",1650.35,184.09,65.7609,27.2453,64.538,6.57867
2010,"NE","MD",1587.72,234.907,47.0618,10.8819,66.8233,20.0421
2010,"NE","UA",1461.27,197.178,44.542,15.6909,48.1872,4.81872
2010,"NW","MD",1348.44,194.559,61.0923,36.7609,64.5614,18.3552
2010,"NW","SC",1198.94,146.388,48.9756,19.0987,64.859,0.766822
2010,"NW","UA",1312.67,200.48,48.1844,5.68962,54.8359,4.6647
2010,"SE","SC",1054.51,171.953,31.7737,7.67829,54.9658,1.28802
2010,"SE","UA",1328.85,175.363,42.03,25.1903,56.3817,6.56143
2010,"SW","SC",964.471,190.133,38.2442,12.4526,65.4512,3.50931
2010,"SW","UA",1096.78,193.362,34.7311,15.5737,58.9034,4.31654
2010,"WM","MD",1449.26,211.749,54.7411,23.187,55.5287,3.1211
2010,"WM","SC",1071.19,168.187,30.4659,16.8653,46.6632,3.3098
2010,"WM","UA",1186.7,197.422,45.1279,10.4426,52.0328,1.93137
2010,"YH","MD",1343.7,158.63,39.9133,22.1587,53.0581,6.14268
2010,"YH","SC",936.056,161.642,22.5994,3.49369,45.1752,0.870462
2010,"YH","UA",1239.53,160.163,42.2509,7.73578,47.6751,2.81581
2011,"EE","SC",1023.33,218.413,46.4794,21.0803,59.9313,0.84399
2011,"EE","UA",1170.11,176.322,34.7408,19.6425,49.9753,5.62693
2011,"EM","SC",1045.6,159.066,35.0523,17.8826,52.4724,1.25025
2011,"EM","UA",1398.26,172.501,45.179,43.5939,66.3792,1.88391
2011,"L","L",1579.35,173.062,59.547,21.502,58.1457,5.92942
2011,"NE","MD",1568.92,238.546,44.3517,15.8125,69.9074,4.62881
2011,"NE","UA",1285.71,193.683,43.9516,16.8549,54.8881,2.94729
2011,"NW","MD",1250.34,199.122,55.6114,33.5792,57.7783,7.75775
2011,"NW","SC",1120.49,187.813,46.706,16.0988,60.6293,0.984784
2011,"NW","UA",1230.21,190.741,54.8616,8.67738,55.5109,3.89849
2011,"SE","SC",980.353,175.987,28.9514,11.3683,52.1278,0.761872
2011,"SE","UA",1257.66,176.378,40.2583,24.1419,54.7298,4.88755
2011,"SW","SC",994.362,197.734,38.7971,13.8281,60.9075,20.3534
2011,"SW","UA",1047.62,192.135,33.3944,18.355,55.9619,4.73005
2011,"WM","MD",1353.06,199.986,51.6611,27.876,45.1357,5.93817
2011,"WM","SC",968.101,175.607,32.5944,25.38,43.2712,1.84214
2011,"WM","UA",1097.3,196.903,43.019,10.5552,50.5406,4.1542
2011,"YH","MD",1262.19,173.222,39.1573,17.8379,48.921,5.07732
2011,"YH","SC",876.624,169.919,21.3624,2.43626,44.2365,0.96811
2011,"YH","UA",1190.12,157.838,38.7749,5.8981,52.2642,5.61164
2012,"EE","SC",1022.86,218.638,42.9288,16.5118,56.0864,0.823009
2012,"EE","UA",1102.9,170.895,32.5321,43.0545,53.0632,5.63196
2012,"EM","SC",1009.67,157.234,37.3497,12.8854,55.8069,1.7382
2012,"EM","UA",1365.18,151.32,47.2278,52.2162,68.4944,1.62919
