"year","region","class","adults_65_pc","adults_us6_learning_pc","adults_u65_mental_pc","adults_u65_other_pc","adults_u65_physical_pc","adults_u65_social_care_pc"
2012,"L","L",1452.75,170.695,56.748,19.861,57.0845,7.93091
2012,"NE","MD",1451.43,233.461,41.2468,12.3868,60.3598,3.53825
2012,"NE","UA",1221.21,186.267,41.9389,17.0422,51.4611,3.6001
2012,"NW","MD",1172.1,189.475,54.9439,31.7156,54.7498,7.65222
2012,"NW","SC",1023.58,185.828,48.2957,26.3497,59.9425,0.874429
2012,"NW","UA",1061.95,198.96,50.8296,7.16295,44.6618,7.7431
2012,"SE","SC",966.691,169.333,32.7952,15.2256,52.6763,0.960037
2012,"SE","UA",1175.23,176.058,38.7126,21.8433,53.3671,3.96846
2012,"SW","SC",979.237,199.814,37.096,13.1248,58.0244,15.2697
2012,"SW","UA",1033.48,197.14,33.2527,19.8035,60.8327,2.13582
2012,"WM","MD",1294.82,202.545,46.7919,24.3979,44.6214,5.93142
2012,"WM","SC",960.329,170.833,29.9346,22.1905,43.753,3.91089
2012,"WM","UA",1083.45,194.611,35.5524,9.04854,52.233,6.31863
2012,"YH","MD",1126.26,176.671,39.1804,14.7304,51.7959,4.41553
2012,"YH","SC",796.824,164.606,22.9882,6.06002,44.0161,1.03506
2012,"YH","UA",1173.33,164.432,39.6354,8.56572,56.0791,2.31188
2013,"EE","SC",1015.34,208.042,35.7282,16.1776,55.3607,0.829469
2013,"EE","UA",1021.83,167.781,33.9439,31.7248,48.5014,5.35611
2013,"EM","SC",924.817,165.902,32.2937,7.94409,60.3173,0.676416
2013,"EM","UA",1313.7,156.413,46.5496,39.7765,72.5073,1.42732
2013,"L","L",1407.8,168.486,53.298,11.1906,56.9601,9.99542
2013,"NE","MD",1429.93,231.169,40.38,5.99272,56.549,3.38103
2013,"NE","UA",1145.57,183.142,43.5379,6.26135,50.7366,2.57538
2013,"NW","MD",1100.73,180.089,53.7015,19.3354,54.1004,4.38033
2013,"NW","SC",995.666,187.689,48.7448,19.4117,61.4115,0.813491
2013,"NW","UA",985.663,191.843,55.2824,7.50269,45.2834,5.37179
2013,"SE","SC",970.407,170.127,32.2444,5.23652,55.2395,0.908955
2013,"SE","UA",1111.72,174.996,35.8945,32.8203,53.7901,3.37975
2013,"SW","SC",952.977,200.387,38.7873,18.7845,52.8189,20.9381
2013,"SW","UA",976.048,192.999,33.0931,8.21314,60.3266,2.86889
2013,"WM","MD",1247.26,187.896,36.0335,14.3378,46.5956,1.21601
2013,"WM","SC",951.647,176.441,29.8968,12.7012,46.689,0.945863
2013,"WM","UA",934.36,201.131,48.6634,20.3805,57.5807,8.88213
2013,"YH","MD",1122.84,186.87,39.8375,12.4727,47.1612,3.79695
2013,"YH","SC",799.083,165.103,24.4346,10.3805,45.1035,1.83101
2013,"YH","UA",1066.22,159.943,41.2283,7.09397,56.9834,1.6071
